title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
"Pipeline Safety: Safety of Gas Transmission Pipelines: MAOP Reconfirmation, Expansion of Assessment Requirements, and Other Related Amendments",Rule,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA is revising the Federal Pipeline Safety Regulations to improve the safety of onshore gas transmission pipelines. This final rule addresses congressional mandates, National Transportation Safety Board recommendations, and responds to public input. The amendments in this final rule address integrity management requirements and other requirements, and they focus on the actions an operator must take to reconfirm the maximum allowable operating pressure of previously untested natural gas transmission pipelines and pipelines lacking certain material or operational records, the periodic assessment of pipelines in populated areas not designated as ``high consequence areas,'' the reporting of exceedances of maximum allowable operating pressure, the consideration of seismicity as a risk factor in integrity management, safety features on in-line inspection launchers and receivers, a 6-month grace period for 7-calendar-year integrity management reassessment intervals, and related recordkeeping provisions.", 2019-20306,https://www.federalregister.gov/documents/2019/10/01/2019-20306/pipeline-safety-safety-of-gas-transmission-pipelines-maop-reconfirmation-expansion-of-assessment,https://www.govinfo.gov/content/pkg/FR-2019-10-01/pdf/2019-20306.pdf,10/01/2019
Energy Conservation Program for Appliance Standards: Procedures for Use in New or Revised Energy Conservation Standards and Test Procedures for Consumer Products and Commercial/Industrial Equipment,Rule,Energy Department,"The U.S. Department of Energy is updating and modernizing aspects of its current rulemaking method for considering new or revised energy conservation standards for consumer products and certain types of industrial equipment. The rule clarifies the process DOE will follow with respect to its application to these items, makes the specified rulemaking procedures binding on DOE, and revises certain provisions to bring consistency with existing statutory requirements. Other changes include expanding early opportunities for public input on the Appliance Program's priority setting and rulemaking activities, setting a significant energy savings threshold for updating standards, establishing a window between test procedure final rules and standards proposals, and delineating procedures for rulemaking under the separate direct final rule and negotiated rulemaking authorities.", 2020-00023,https://www.federalregister.gov/documents/2020/02/14/2020-00023/energy-conservation-program-for-appliance-standards-procedures-for-use-in-new-or-revised-energy,https://www.govinfo.gov/content/pkg/FR-2020-02-14/pdf/2020-00023.pdf,02/14/2020
Repeal of the Clean Power Plan; Emission Guidelines for Greenhouse Gas Emissions From Existing Electric Utility Generating Units; Revisions to Emission Guidelines Implementing Regulations,Rule,Environmental Protection Agency,"The U.S. Environmental Protection Agency (EPA) is finalizing three separate and distinct rulemakings. First, the EPA is repealing the Clean Power Plan (CPP) because the Agency has determined that the CPP exceeded the EPA's statutory authority under the Clean Air Act (CAA). Second, the EPA is finalizing the Affordable Clean Energy rule (ACE), consisting of Emission Guidelines for Greenhouse Gas (GHG) Emissions from Existing Electric Utility Generating Units (EGUs) under CAA section 111(d), that will inform states on the development, submittal, and implementation of state plans to establish performance standards for GHG emissions from certain fossil fuel-fired EGUs. In ACE, the Agency is finalizing its determination that heat rate improvement (HRI) is the best system of emission reduction (BSER) for reducing GHG--specifically carbon dioxide (CO<INF>2</INF>)--emissions from existing coal-fired EGUs. Third, the EPA is finalizing new regulations for the EPA and state implementation of ACE and any future emission guidelines issued under CAA section 111(d).", 2019-13507,https://www.federalregister.gov/documents/2019/07/08/2019-13507/repeal-of-the-clean-power-plan-emission-guidelines-for-greenhouse-gas-emissions-from-existing,https://www.govinfo.gov/content/pkg/FR-2019-07-08/pdf/2019-13507.pdf,07/08/2019
"National Performance Management Measures; Assessing Performance of the National Highway System, Freight Movement on the Interstate System, and Congestion Mitigation and Air Quality Improvement Program",Rule,Transportation Department; Federal Highway Administration,"This final rule repeals the performance management measure that assessed the percent change in tailpipe carbon dioxide (CO<INF>2</INF>) emissions, from the reference year 2017, on the National Highway System (NHS) (also referred to as the Greenhouse Gas (GHG) measure). The GHG measure was one of several performance measures that FHWA required State departments of transportation (State DOTs) and metropolitan planning organizations (MPOs) to use to assess performance in a variety of areas. After considering the comments received in response to the notice of proposed rulemaking (NPRM) published on October 5, 2017, FHWA has decided to repeal the GHG measure.", 2018-11652,https://www.federalregister.gov/documents/2018/05/31/2018-11652/national-performance-management-measures-assessing-performance-of-the-national-highway-system,https://www.govinfo.gov/content/pkg/FR-2018-05-31/pdf/2018-11652.pdf,05/31/2018
Availability of Final Report on Regulatory Review Under Executive Order 13783,Rule,Energy Department,"Through this document, the Department of Energy (DOE) announces the availability of its report issued under Executive Order 13783, ``Promoting Energy Independence and Economic Growth''.", 2017-23713,https://www.federalregister.gov/documents/2017/11/01/2017-23713/availability-of-final-report-on-regulatory-review-under-executive-order-13783,https://www.govinfo.gov/content/pkg/FR-2017-11-01/pdf/2017-23713.pdf,11/01/2017
Energy Conservation Program: Energy Conservation Standards for Dedicated-Purpose Pool Pumps,Rule,Energy Department,"On January 18, 2017, the U.S. Department of Energy (``DOE'') published in the Federal Register a direct final rule to establish new energy conservation standards for dedicated purpose pool pumps. DOE has determined that the comments received in response to that direct final rule do not provide a reasonable basis for withdrawing it. Therefore, DOE is providing notice confirming the adoption of the energy conservation standards established in that direct final rule and announces the effective date of those standards.", 2017-10868,https://www.federalregister.gov/documents/2017/05/26/2017-10868/energy-conservation-program-energy-conservation-standards-for-dedicated-purpose-pool-pumps,https://www.govinfo.gov/content/pkg/FR-2017-05-26/pdf/2017-10868.pdf,05/26/2017
Energy Conservation Program: Energy Conservation Standards for Residential Central Air Conditioners and Heat Pumps,Rule,Energy Department,"On January 6, 2017, the U.S. Department of Energy (``DOE'') published in the Federal Register a direct final rule to establish new energy conservation standards for residential central air conditioners and heat pumps. DOE has determined that the comments received in response to that direct final rule do not provide a reasonable basis for withdrawing it. Therefore, DOE is providing notice confirming the adoption of the energy conservation standards established in that direct final rule and announces the effective dates of those standards.", 2017-10869,https://www.federalregister.gov/documents/2017/05/26/2017-10869/energy-conservation-program-energy-conservation-standards-for-residential-central-air-conditioners,https://www.govinfo.gov/content/pkg/FR-2017-05-26/pdf/2017-10869.pdf,05/26/2017
Energy Conservation Program: Energy Conservation Standards for Miscellaneous Refrigeration Products,Rule,Energy Department,"On October 28, 2016, the U.S. Department of Energy (``DOE'') published in the Federal Register a direct final rule to establish new energy conservation standards for miscellaneous refrigeration products. DOE has determined that the comments received in response to that direct final rule do not provide a reasonable basis for withdrawing it. Therefore, DOE is providing notice confirming the adoption of the energy conservation standards established in that direct final rule and announces the effective date of those standards.", 2017-10867,https://www.federalregister.gov/documents/2017/05/26/2017-10867/energy-conservation-program-energy-conservation-standards-for-miscellaneous-refrigeration-products,https://www.govinfo.gov/content/pkg/FR-2017-05-26/pdf/2017-10867.pdf,05/26/2017
Energy Conservation Program: Energy Conservation Standards for Walk-In Cooler and Freezer Refrigeration Systems,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975 (``EPCA''), as amended, prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including walk-in coolers and walk-in freezers. This final rule details a series of energy conservation standards pertaining to certain discrete classes of refrigeration systems used in this equipment. These standards, which are consistent with recommendations presented by a working group that included refrigeration system manufacturers, installers, and energy efficiency advocates, have been determined to result in the significant conservation of energy and achieve the maximum improvement in energy efficiency that is technologically feasible and economically justified.", 2017-14079,https://www.federalregister.gov/documents/2017/07/10/2017-14079/energy-conservation-program-energy-conservation-standards-for-walk-in-cooler-and-freezer,https://www.govinfo.gov/content/pkg/FR-2017-07-10/pdf/2017-14079.pdf,07/10/2017
Roadless Area Conservation; National Forest System Lands in Colorado,Rule,Agriculture Department; Forest Service,"The U.S. Department of Agriculture (USDA) is reinstating the North Fork Coal Mining Area exception to the Colorado Roadless Rule. The Colorado Roadless Rule is a State-specific rule that establishes management direction for the conservation of roadless area values and characteristics across approximately 4.2 million acres of land located within the State of Colorado in Roadless Areas on National Forest System (NFS) lands. The North Fork Coal Mining Area exception to the Colorado Roadless Rule provides for the construction of temporary roads, if needed, for coal exploration and coal-related surface activities in the 19,700-acre area defined as the North Fork Coal Mining Area. The Colorado Roadless Rule was promulgated on July 3, 2012, but the U.S. District Court for the State of Colorado ruled that the environmental analysis performed by the U.S. Forest Service on behalf of the USDA pursuant to the National Environmental Policy Act was deficient. The Forest Service prepared a Supplemental Environmental Impact Statement (SEIS) to respond to the specific deficiencies identified in that U.S. District Court ruling. In addition, an administrative correction is being conducted by the USDA for Colorado Roadless Area (CRA) boundaries associated with the North Fork Coal Mining Area based on updated information. The correction adds an additional 200 acres to the roadless area in the 2012 Colorado Roadless Rule. These boundary corrections address changes identified by new road survey information.", 2016-30406,https://www.federalregister.gov/documents/2016/12/19/2016-30406/roadless-area-conservation-national-forest-system-lands-in-colorado,https://www.govinfo.gov/content/pkg/FR-2016-12-19/pdf/2016-30406.pdf,12/19/2016
Energy Conservation Program: Energy Conservation Standards for Ceiling Fans,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975 (EPCA), as amended, prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including ceiling fans. EPCA also requires the U.S. Department of Energy (DOE) to periodically determine whether more-stringent standards would be technologically feasible and economically justified, and would save a significant amount of energy. In this final rule, DOE amends the energy conservation standards for ceiling fans. It has determined that the amended energy conservation standards for these products would result in significant conservation of energy, and are technologically feasible and economically justified.", 2017-00474,https://www.federalregister.gov/documents/2017/01/19/2017-00474/energy-conservation-program-energy-conservation-standards-for-ceiling-fans,https://www.govinfo.gov/content/pkg/FR-2017-01-19/pdf/2017-00474.pdf,01/19/2017
Energy Conservation Program: Energy Conservation Standards for Dedicated-Purpose Pool Pumps,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975 (EPCA), as amended, sets forth a variety of provisions designed to improve energy efficiency. Part C of Title III establishes the ``Energy Conservation Program for Certain Industrial Equipment.'' The covered equipment includes pumps. In this direct final rule, DOE is adopting new energy conservation standards for dedicated-purpose pool pumps. It has determined that the energy conservation standards for these products would result in significant conservation of energy, and are technologically feasible and economically justified.", 2016-31666,https://www.federalregister.gov/documents/2017/01/18/2016-31666/energy-conservation-program-energy-conservation-standards-for-dedicated-purpose-pool-pumps,https://www.govinfo.gov/content/pkg/FR-2017-01-18/pdf/2016-31666.pdf,01/18/2017
Energy Conservation Program: Energy Conservation Standards for Residential Central Air Conditioners and Heat Pumps,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975 (EPCA), as amended, prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including residential central air conditioners and heat pumps. EPCA also requires the U.S. Department of Energy (DOE) to periodically determine whether more-stringent, amended standards would be technologically feasible and economically justified, and would save a significant amount of energy. In this direct final rule, DOE adopts amended energy conservation standards for residential central air conditioners and heat pumps.", 2016-29992,https://www.federalregister.gov/documents/2017/01/06/2016-29992/energy-conservation-program-energy-conservation-standards-for-residential-central-air-conditioners,https://www.govinfo.gov/content/pkg/FR-2017-01-06/pdf/2016-29992.pdf,01/06/2017
Energy Conservation Program: Energy Conservation Standards for Residential Dishwashers,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975 (EPCA or the Act), as amended, prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including residential dishwashers. EPCA also requires the U.S. Department of Energy (DOE) to periodically determine whether more- stringent, amended standards would be technologically feasible and economically justified, and would save a significant amount of energy. In this final rule, DOE has determined that more stringent residential dishwasher standards would not be economically justified, and, thus, does not amend its energy conservation standards for residential dishwashers. DOE also eliminates an obsolete dishwasher test procedure that is no longer used to demonstrate compliance with the existing energy conservation standards.", 2016-29328,https://www.federalregister.gov/documents/2016/12/13/2016-29328/energy-conservation-program-energy-conservation-standards-for-residential-dishwashers,https://www.govinfo.gov/content/pkg/FR-2016-12-13/pdf/2016-29328.pdf,12/13/2016
Energy Conservation Program: Energy Conservation Standards for Miscellaneous Refrigeration Products,Rule,Energy Department,"", 2016-24759,https://www.federalregister.gov/documents/2016/10/28/2016-24759/energy-conservation-program-energy-conservation-standards-for-miscellaneous-refrigeration-products,https://www.govinfo.gov/content/pkg/FR-2016-10-28/pdf/2016-24759.pdf,10/28/2016
Minimum Training Requirements for Entry-Level Commercial Motor Vehicle Operators,Rule,Transportation Department; Federal Motor Carrier Safety Administration,"FMCSA establishes new minimum training standards for certain individuals applying for their commercial driver's license (CDL) for the first time; an upgrade of their CDL (e.g., a Class B CDL holder seeking a Class A CDL); or a hazardous materials (H), passenger (P), or school bus (S) endorsement for the first time. These individuals are subject to the entry-level driver training (ELDT) requirements and must complete a prescribed program of instruction provided by an entity that is listed on FMCSA's Training Provider Registry (TPR). FMCSA will submit training certification information to State driver licensing agencies (SDLAs), who may only administer CDL skills tests to applicants for the Class A and B CDL, and/or the P or S endorsements, or knowledge test for the H endorsement, after verifying the certification information is present in the driver's record.", 2016-28012,https://www.federalregister.gov/documents/2016/12/08/2016-28012/minimum-training-requirements-for-entry-level-commercial-motor-vehicle-operators,https://www.govinfo.gov/content/pkg/FR-2016-12-08/pdf/2016-28012.pdf,12/08/2016
Cross-State Air Pollution Rule Update for the 2008 Ozone NAAQS,Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA) published the original Cross-State Air Pollution Rule (original CSAPR) on August 8, 2011, to address interstate transport of ozone pollution under the 1997 ozone National Ambient Air Quality Standards (NAAQS) and interstate transport of fine particulate matter (PM<INF>2.5</INF>) pollution under the 1997 and 2006 PM<INF>2.5</INF> NAAQS. The EPA is finalizing this Cross-State Air Pollution Rule Update (CSAPR Update) to address interstate transport of ozone pollution with respect to the 2008 ozone NAAQS. This final rule will benefit human health and welfare by reducing ground-level ozone pollution. In particular, it will reduce ozone season emissions of oxides of nitrogen (NO<INF>X</INF>) in 22 eastern states that can be transported downwind as NO<INF>X</INF> or, after transformation in the atmosphere, as ozone, and can negatively affect air quality and public health in downwind areas. For these 22 eastern states, the EPA is issuing Federal Implementation Plans (FIPs) that generally provide updated CSAPR NO<INF>X</INF> ozone season emission budgets for the electric generating units (EGUs) within these states, and that implement these budgets via modifications to the CSAPR NO<INF>X</INF> ozone season allowance trading program that was established under the original CSAPR. The EPA is finalizing these new or revised FIP requirements only for certain states that have failed to submit an approvable State Implementation Plan (SIP) addressing interstate emission transport for the 2008 ozone NAAQS. The FIPs require affected EGUs in each covered state to reduce emissions to comply with program requirements beginning with the 2017 ozone season (May 1 through September 30). This final rule partially addresses the EPA's obligation under the Clean Air Act to promulgate FIPs to address interstate emission transport for the 2008 ozone NAAQS. In conjunction with other federal and state actions to reduce ozone pollution, these requirements will assist downwind states in the eastern United States with attaining and maintaining the 2008 ozone NAAQS. This CSAPR Update also is intended to address the July 28, 2015 remand by the United States Court of Appeals for the District of Columbia Circuit of certain states' original CSAPR phase 2 ozone season NO<INF>X</INF> emission budgets. In addition, this rule updates the status of certain states' outstanding interstate ozone transport obligations with respect to the 1997 ozone NAAQS, for which the original CSAPR provided a partial remedy.", 2016-22240,https://www.federalregister.gov/documents/2016/10/26/2016-22240/cross-state-air-pollution-rule-update-for-the-2008-ozone-naaqs,https://www.govinfo.gov/content/pkg/FR-2016-10-26/pdf/2016-22240.pdf,10/26/2016
Energy Conservation Program: Energy Conservation Standards for Dehumidifiers,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975 (EPCA), as amended, prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including dehumidifiers. EPCA also requires the U.S. Department of Energy (DOE) to periodically determine whether more-stringent standards would be technologically feasible and economically justified, and would save a significant amount of energy. In this final rule, DOE is adopting more- stringent energy conservation standards for dehumidifiers. It has determined that the amended energy conservation standards for these products would result in significant conservation of energy, and are technologically feasible and economically justified.", 2016-12881,https://www.federalregister.gov/documents/2016/06/13/2016-12881/energy-conservation-program-energy-conservation-standards-for-dehumidifiers,https://www.govinfo.gov/content/pkg/FR-2016-06-13/pdf/2016-12881.pdf,06/13/2016
Stream Protection Rule,Rule,Interior Department; Surface Mining Reclamation and Enforcement Office,"We, the Office of Surface Mining Reclamation and Enforcement (OSMRE or OSM), are revising our regulations, based on, among other things, advances in science, to improve the balance between environmental protection and the Nation's need for coal as a source of energy. This final rule will better protect water supplies, surface water and groundwater quality, streams, fish, wildlife, and related environmental values from the adverse impacts of surface coal mining operations and provide mine operators with a regulatory framework to avoid water pollution and the long-term costs associated with water treatment. We have revised our regulations to define ``material damage to the hydrologic balance outside the permit area'' and require that each permit specify the point at which adverse mining-related impacts on groundwater and surface water would reach that level of damage; collect adequate premining data about the site of the proposed mining operation and adjacent areas to establish an adequate baseline for evaluation of the impacts of mining and the effectiveness of reclamation; adjust monitoring requirements to enable timely detection and correction of any adverse trends in the quality or quantity of surface water and groundwater or the biological condition of streams; ensure protection or restoration of perennial and intermittent streams and related resources; ensure that permittees and regulatory authorities make use of advances in science and technology; ensure that land disturbed by mining operations is restored to a condition capable of supporting the uses that it was capable of supporting before mining; and update and codify the requirements and procedures for protection of threatened or endangered species and designated critical habitat. Approximately thirty percent of the final rule consists of editorial revisions and organizational changes intended to improve consistency, clarity, accuracy, and ease of use.", 2016-29958,https://www.federalregister.gov/documents/2016/12/20/2016-29958/stream-protection-rule,https://www.govinfo.gov/content/pkg/FR-2016-12-20/pdf/2016-29958.pdf,12/20/2016
